raw,rate
"Malo El vendedor, no  envió el mismo producto que ofrece en la publicación",negative
"Exelente atención Muy buen producto, muy confiable",positive
"Excelente Todo muy bien, el producto y el proveedor.  Gracias",positive
Malo Me enviaron otra zapatillas...otro modelo nada que ver..,negative
Muy bueno Sin quejas. Cumple su función a la perfección. Excelente atención.  Gracias!!,positive
Ttodo perfecto. gracias todo perfecto tal cual esperaba. gracias,positive
Es una funda comun Es una funda común de tpu quizás un poco mas gruesa pero no rigida,negative
PRODUCTO EXCELENTE ... DE BUENA CALIDAD EXCELENTE PRODUCTO... BUENA CALIDAD... CALZA PERFECTO... LO RECOMIENDO ENVIO RAPIDO. y el Cliente quedo CONFORME..,positive
Excelente producto Excelente producto muy útil y efectivo,positive
"Un ENGAÑO TOTAL Un ENGAÑO TOTAL. no están definidos los números tal como lo muestra la figura del reloj que ofrecen por ML. prácticamente, tenes que adivinarlos.",negative
"Muy bueno!!! Excelente producto, buena calidad, cumple lo que promete.",positive
"Muy bueno Excelente, llego todo impecable, muy buen producto.",positive
Excelente Muy buen producto.funcionan a la perfección,positive
excelente muy buenos rollers! super calidad. totalmente recomendables!,positive
Muy alegre Muy bueno. Muy alegre y luminoso.,positive
Malo No me funciono. Para nada.,negative
buenismo excelente producto sin problemas en la recepcion a través del correo,positive
"Genial Buena calidad, es lo que esperaba!",positive
Satisfecho Muy buena calidado he quedado mut conforme con el producto,positive
"Vendedor, material excelentes Placas de muy buena calidad, facil desmolde, muy buena terminacion de la placa ya desmoldada",positive
malissimo el producto. El producto es malissimo. desde el encastre de las pilas es malo y no funciona .    una desilucion el producto. NO lo recomiendo para nada.,negative
Muy frágiles aparentan.. Lindo aspecto en algunas partes..no es enteramente lo que esperaba..,negative
La calidad no es buena El material no es lo que esperaba,negative
Malo No le duró dos semanas dejo de funcionar así no mas,negative
"Malo estaba bueno , pero vinieron  4 focos rotos  y no me lo reiteraron",negative
Desepcionado No fue el talle que pedí. Me queda todo chico,negative
Excelente Excelente!!!! recomendado 100%,positive
"Muy malo No lo recomiendo, cuando te lo pones se te cae a cada rato por cualquier movimiento, el imán no agarra casi nada, lo compre y al día ya se me perdieron dos porque por cualquier movimiento se caen, esta fue mi experiencia.",negative
Excelente Muy buen producto. Funciona como lo esperado,positive
"No sirve. No lo recomiendo No sirve. No sé ven cambios. Lo mejor es una buena dieta y ejercicio. Lo compré por la zona abdominal por el embarazo. Pero me resulta más cómodo usar una musculosa tipo faja que venden en la lencería para aplastar la zona flácida. Pero este producto es barato para estar gastando al pedo. Recomiendo que compren la faja talle grande, ya que la chica muyyy angosta y cuando me la probé y cortajio toda. El vendedor me la cambio por la falla pero tuve que volver a pagar el envío.",negative
"Muy malo No es lo que esperaba. Parece de juguete, mala calidad. No tiene volumen alto, o sea que no se escucha cuando suena...muy malo, el producto.",negative
"Mala la confección, desproporcionado. No es que quedó algo grande, es mala la confección. No es lo que muestra la foto. Es desproporcionado y no es entallado. Es angosto",negative
"Buenas prestaciones y cantidad de medidas Muy lindo producto, ahora a probarlo!!!",positive
Malo Me anduvo solo una semana y no cargo mas,negative
Mala Se traban mucho los billetes y cuando sucede cuesta mucho sacarlos.  Pensaba que era de mejor calidad.,negative
Muy bueno Muy buen producto. El vendedor fue amable .,negative
