raw,rate,human_rate
"EXCELENTE!!! EXCELENTE,CALIDAD,DISEÑO,PRODUCTO,MUY SATISFECHOS,NOS ENCANTO..MUCHAS GRACIAS!!!",positive,positive
Malo. No me sirvió para nada. No cumplió la función que esperaba.,negative,negative
Pésimo Pésima calidad del producto y de los geles adhesivos. Teniendo todos los cuidados necesarios se gastaron en tan solo 4 días!!! Nada recomendable.,negative,negative
"Excelente Excelente producto. La terminación me sorprendió para bien, en cuanto a lo hermético y a la pintura. Ya las instalamos e iluminan excelente con las lámparas de 5w. Superó mis espectativas. Muy conforme. Llegaron antes de lo estipulado.",positive,positive
"Muy bueno Se ve como un calzado resistente. Me hubiera gustado comprar de distintos colores, en una sola compra. Por ese lado tienen que perfeccionar, la oferta.",positive,positive
Malo No es gran cosa se tapa continuamente el filtro y hay que desarmarlo y tratar de secarlo no colmo mis espectativas por su valor de venya ni lo recomendaria tamppco,negative,negative
"Es peligrosa Ojo la bomba prende sola y es un peligro, ya que hace prender el calefon con las canillas cerradas, antes tenia pursta una bomba identica marca Rowa y esto no sucedia; si bien la bomba funciona, no es de excelente calidad",negative,negative
"Excelente Cómodo, livianos y de buena calidad. Tiene lo necesario a la hora de comprar una zapatilla. Recomendables",positive,positive
"Regular No funciona muy bien, el alcance del control remoto es corto y cuando se activa la alarma no se la puede cortar con el control remoto. Regular...",negative,negative
Muy bueno Buen producto excelente calidad.,positive,positive
Muy bueno hermosas compre 3 modelos diferentes mas,positive,positive
Excelente remera Cumplio con lo acordado. Todo ok,positive,positive
Fraude usado por nuevo Malo no era nuevo estaba en uso. Lo que comprobe . Primero dude del embalaje y eso me llevo a revisarlo,negative,negative
Excelente Muy buen y efectivo producto!!,positive,positive
"Recomendable Bueno, la verdad que viene con buenos anclajes no lo compre en mi casa para una MT sino para adaptar a otra moto y quedo 10 puntos.!!!",positive,positive
"1 sin funcionar de las 4 que compre, 1 me vino fallada",negative,negative
"excelente Excelente producto, solucionó mi problema. Buena atencion,. gracias!                                                                                                                                                                                                         .",positive,positive
"Muy bueno muy bueno el celu, vendedor recomendable!!",positive,positive
"Bueno Bien , no es  como el original pero es bueno.",negative,positive
Regular No se pudo instalar!  Se tilda empieza a sonar sola,negative,negative
No funcionan Compre dos calculadoras las use un mes y dejaron de andar las dos tuvieron el mismo problema,negative,negative
"Muy malo mala calidad de producto, lo mismo para quien vende",negative,negative
"Excelente Excelente producto, construido en buenos materiales, cumple con la función para la cual fue comprado.",positive,positive
Excelente muy buena calidad!!! excelente,positive,positive
recomendable precio calidad inigualable,positive,positive
"Malo Muy malo, no sirven.. No cumple con lq promete",negative,negative
gracias muy lindooo Buenísimo todo. Es lo que esperamos gracias,positive,positive
Muy buen precio y calidad Excelente calidad y precio. Muy conforme,positive,positive
"no sirve como todo lo chino, un par de dias bien, hoy a hace varios dias, la bateria no retiene carga, por momentos responde a los mandos y por momentos parece desconfigurarse o fallar el soft, como que se cuelga....",negative,negative
Todo bien. Todo muy bien. Buena calidad y precio.,positive,positive
Malo Muy plastico comun pense haria diferencia pero no barato sale caro,negative,negative
Excelente Excelente. Todo tal cual lo publicitado,positive,positive
Malo No muy bueno el producto pensé que era un poco mejor,negative,negative
No se Impecableeeeeeeeeeeeeeeeeeeeeeeeeee,positive,positive
"Buena Para ser que es barata, demasiado la mascara",positive,positive
regular el estereo no tiene AM! solo FM   mas o menos el estereo,negative,negative
Excelente excelente producto.Lo volveria a comprar,positive,positive
"Muy mal No son originales! Malisimo los comandos, los originales son categoria A. NO B",negative,negative
Excelente Tamaño y material ideal para manipulación de niño de 3 años.,positive,positive
Tramposos Nunca recibí la bolsa de hipoalergénico de 10 kilos. Dijeron que no tenían.. y que pagara una diferencia para comprar el de 15 kg. Es muy tramposa la publicación. Y quiero lo que pagué,negative,negative
Espectacular Todo de 10 estan re buenas . La atencion re buena muy recomendable,positive,positive
Excelente Exelente. Llego en tiempo y forma,positive,positive
Excelente Excelente .muy confiable Cubrio mis espectativa,positive,positive
Chicas .... Son dos talles mas chicas de lo que indican.,negative,negative
Excelente El producto es muy bueno!Y llego en perfectas condiones,positive,positive
Malo Las coneciones de las fichas son las cortas,negative,negative
Engaño. No es original y el rendimiento es pobre. No lo recomiendo.,negative,negative
"Excelente Muj bueno, es lo que esperaba, recomendable",positive,positive
"Genial Muy buen producto, cumplió con lo prometido",positive,positive
Muy bueno un poco mas liquida que de costumbre,positive,positive
"La atención y el envio excelente, Lamentablemente el pretal ya se le rompió el cierre,no me duro una semana.",negative,negative
Excelente Muy responsables en ma entrega. Gracias!!! Excelente el producto.,positive,positive
"Mal Jamás me enviaron la factura, me cansé de enviar mensajes al vendedor y no responden. Tampoco envían la tarjeta de la misma",negative,negative
"Muy malo MALÍSIMO VENDEDOR!!!  NUNCA ME ENTREGÓ LA FACTURA, SE LAS PEDÍ POR TELEFONO Y POR MAIL INFINIDAD DE VECES.  NO RESPONDEN!!!!  NO LE COMPREN...",negative,negative
"Lindo El producto en si está bien, pero te lo envían en una bolsa de almacén común, sin ningún tipo de bolsita de presentación o packagin correspondiente, pésimo.",negative,negative
Mala Muy mala calidad de impresión,negative,negative
Muy malo No me gustó la calidad de la ropa con el material que lo hacen así que lo devolvi todabia estoy esperando el re ingreso de lo que pague,negative,negative
"Muy bueno Cumplió mis expectativas, el agua permanece caliente muchas horas.",positive,positive
Muy bueno Es muy bueno el producto.. me ancanto pero se demora mucho para que me lo mande pero muy bueno,positive,positive
Excelente Excelente! Muy buena definición,positive,positive
"Recomendable. Lo poco que lo usé hasta ahora, funcionó muy bien. Muy buena respuesta. Toma muy bien los graves. Lo usé con un pandeiro. Va muy bien por el precio del producto.",positive,positive
Chico el talle L Talle L muy chico chico chico chico chico chico,negative,negative
Excelente todo perfecto. recibido a tiempo. producto esperado,positive,positive
"Una desilusion Muy caro para lo que realiza , pense que era el remplazo del hilo dental pero lo tengo q seguir usando !",negative,negative
"Muy malo Buenisimo, hasta que le puse 160 kilos a la compuerta, y no se la aguanto. Una lastima! hice el reclamo y no me solucionaron el problema",negative,negative
Excelente Muy lindo producto. Mi nene... feliz. Llegó muy rápido,positive,positive
Muy bueno Excelente producto. En Calidad y presentación,positive,positive
El el producto cumple con las expectativas que ten La verdad que estoy muy contento con el producto es de excelente calidad,positive,positive
Recomendavle Te deja el pelo hermoso y brillante,positive,positive
"Una Maquina Ideal y de bajo precio Muy Buena Maquina, robusta bien presentada, ideal para afeitar la barba, patillas etc.  Cuenta con un sistema vibratorio simple pero efectivo.  Recomiendo este producto.",positive,positive
Muy bueno Muy buen producto cumple su función perfectamente.. recomendable,positive,positive
Muy malo No funciona con los drivers 3200,negative,negative
"Impecable! Impecable. Hace mil años que no hallaba este modelo, que fue el que me acompañó toda mi adolescencia. Va con todo! Un 10",positive,positive
Decepcion Medio pelo..no fue lo q esperaba,negative,negative
Muy bueno Excelente soldador. Caliente en 3 minutos y esta listo para comenzar a soldar.,positive,positive
Un lujo! Excelente producto y relación calidad-precio,positive,positive
Excelente Buen producto. Era lo que esperaba.,positive,positive
"era lo que esperaba el producto está bueno, era lo que esperaba, saludos",positive,positive
No la volveria a comprar Malisima.no aclara que es de neoprene solo el triangulo que tapa nariz y boca.lo demas de una tela cualquiera..por el precio debiera ser mínimamente del material q menciona o aclarar el detalle,negative,negative
"No es original La batería que me envio no es lo que compré, yo le compré a este vendedor porque la foto de la batería era igual a la que tenía mi celu, y cuando llegó, lo que me envió es igual a la que ofrecen otros a mucho menor precio, sumado a que NO ES ORIGINAL dado que una vez cargada, dura lo mismo que la batería gastada que tengo en el celular por lo cual, le pedí que me la cambie por una original de verdad o me devuelva el dinero y nunca contesto.",negative,negative
"Malo El producto es muy bueno, cumplió con mis espectativas, pero nunca me llegó la funda de regalo que venía incluida con la compra",negative,negative
muy bueno El color y tamaño están muy bien,positive,positive
Regular Es muy fino el vidrio se partió al colocarlo y donde tiene los tornillos es de plastico.  No de acero como indica la descripción....,negative,negative
Malo Fallo después  de unos días la pantalla  se apago.,negative,negative
Lindas !!! Lindas !! Van bien ... Hay q salir a caminar ahora,positive,positive
