RATE,TITLE,CONTENT
1,Muy caras!!!! Con respecto a otros anuncios!,Las pague $2400 y otr vendedor las tiene$1400!! Es demasiado!!!
1,Muy malo,Pedí talle XL y me mandaron luego de 3 semanas XXL encima jamás me respondieron los mensajes muy mala atencion
2,Malo,Se desarma muy fácilmente y no se puede arreglar más que pegando sus brazos y piernas así que no es buena su articulación  no es para chicos
1,Al parecer son baterias usadas,Al parecer son baterías usadas no les dura mucho la carga. es mas una empezó a perder liquido después de estarse cargando 10 min.
2,Engañosos,"Mala me dijeron una plata luego la devolví para que  pusieran nuevas cosas 10.000 más para que mi hijo pudiera descargar juegos y solo pudo hasta hoy descargar fornite mentirosos, engañó total $250000 total gastamos y no sirve"
1,No sirve ni para cotillon,Horrible..de cotillon..se cae un monton el pelo de solo tocarlo.brilloso como de muñeca
2,Poco  profesional a la hora de la atención,"Me pareció una joda, me dieron las  ópticas en color gris y yo pedí fondo negro, las bandas color gris todo mal, espero que a los clientes que mandan a otras provincia no los desilusionen  como ami. Muy pocos profesional a la hora atenderte y en el local te dan muchas vueltas y te terminan dando lo que ellos quieren."
2,Malo,El porcentaje de carga me sale de 44% y no tiene más de un mes
2,Si,Genial muy lindo nos divertimos y se ve muy lindo en las luces de colores
2,Malo,"El producto es excelente. El proveedor no: Antes de ofertar pregunté si era de salida vertical, cuando compré no lo era, le agregaron una pieza que no corresponde (lo dice el manual), tuve que comprar un adaptador. Aclaré que vivo en un piso 10, no me dijeron que no lo subían, despues de rogar me lo dejaron en la puerta del ascensor por que me lo dejaban en la calle. Soy discapacitado y no puedo hacer fuerza. Menudo lío hasta que logré que alguien lo suba."
2,Esperaba más.,"El libro no parece lo que es. Parece una revista. Es bastante escueto, y para lo que un director de fotografía necesita, se queda muy atrás. Casi no aporta nada."
1,Aún sin resultados,Hace un mes lo comencé a tomar pero aún no he notado resultados... Esperemos y pronto sabremos...
2,Malo,Si lo conocen o ya saben usuarlo contraten sino busquen otro lado xq no te solucionan nada...contrate a laa 17hs son las 0:21 y sigo leyendo tutoriales para entender xq no me lo solucionan
2,Medio pelo,La calidad del mdf no es la mejor. Varias partes vinieron manchadas. El cable textil y el floron igual
1,Mala calidad,El termo vino con manchas que no salen. No era lo esperado.
1,Horribles,"Parecen de juguete, muy mala calidad, solo recomiendo los collares"
2,Malo,"No son los originales y en la descripción dice eso, ni tampoco los que muestran en foto"
2,Malo,Bastante ordinaria. Se salen las molduras negras
1,No anduvo,Solo un día anduvo. Cuando funcionó lo hizo con exactitud
1,"NO ES LA ORIGINAL, MALISIMO","pense que era la original, la verdad muy decepcionante, sin fuerza, la cuchilla desafilada, los materiales de muy baja calidad. no la recomiendo para nada. NO LA COMPREN"
2,Malo,"MALO EL PRODUCTO , CON 0° C TE PODES LLEGAR A MORIR DE HIPOTERMIA"
1,Malisimo,"Miente 5 kilos de más, re malo el producto"
2,"Cara, a pesar de ello a las niñas les encanta",A mi hija le encantó. Yo personalmente opino que es un total desperdicio de dinero. Aún siendo la original la pintura se le notan detalles en la pintura que con lo que cuesta no debería estar. Es cierto que con TANTO envoltorio los niños pasan 3 minutos de gran diversión y después que? Solo tirar y tirar plásticos
2,Muy malo,Hola el envio bien en tiempo y forma solo que el producto llego roto
2,muy trucho malo!,No salio bien no anda el control ya vino así no pueden enviar algo así..Muy malo
2,Mas o menos.. guantes y cuellera bajos,"Los guantes super chicos al talle xxl pedido..  La cuellera basica, sin coincidir mucho con la imagen.."
2,Malo,No llegó en el mejor estado. Estaba golpeado y desplegada todo el fondo. Lo Tube q reforzar Yo!
2,Malo,"Lamentablemente no tenían ni un mes de uso y empezaron abrirse en la parte del talón , hoy están rajadas ya , tuve que mandarlas al zapatero y varias personas con el mismo producto les pasó , no hice el reclamo porque entre que envió el paquete lo reciben y todo no se si me lo iban a reconocer , una lastima porque son hermosas las zapatillas , pero vienen falladas ."
1,No lo recomiendo.,"No sirve para usar mas de un minuto porque se recalienta, luego debe dejarse 10 minutos apagada para que se enfríe. Es solo para pequeñas tareas ocasionales."
1,Mala Calidad,Malisima la calidad se me quemaron 4 en menos de una semana .No creo volver a comprar la misma marca.
2,Informatibo,Muy bieno era lo que pedi record
1,Ne siento estafado.,Una porquería. Funcionó mal y ya no funciona. Una vergüenza.
2,No es original,"La publicacion dice que el vaso es original y no es original, claramente es una copia."
1,Un fracaso,"Una pedorrada, mala calidad, mala atencion, tuve problema con el producto y nunca m contestaron m mandaron el color q quicieron"
1,Un asco,Horrible ni una semana duro no lo recomiendo
2,Malo,"al principio funcionaba  bien, aunque perdía presión por el borde de la tapa y donde esta pegada la manija,ahora ya pierde toda la presión por el borde, no sale mas vapor por la válvula - Se le empezo a aflojar la manija larga"
1,Muy malo,No me sirvió para cortar la cerámica
2,No muy buena,Valoro que llegó en tiempo acordado...pero no cumplió mucho mis expectativas...el tema del relleno de la silla..aunq creo q es acorde  al precio!!
2,Bueno,"Buenas noches. Lo recibí en la afecta acordada pero no es lo q realmente esperaba. En la foto de la publicación se ve rojo más intenso, más brillante y más gordito; cómo q tiene más relleno."
1,Te envían cualquier producto y no el que pedis,Ni llegó el producto que quería. Llegaron todas las bandejas iguales y no era eso lo que necesitaba
2,REGULAR.,"PRODUCTO QUE ESTETICAMENTE  ES LINDO, PERO EN USO ,ES  BASTANTE REGULAR MOPA QUE NO ABSORBE CASI NADA DE LIQUIDO ,SE DA VUELTA FACILMENTE A LA INVERSA OSCILA PARA TODOS LADOS .  BASTANTA REGULAR. TENIA UNO DE OTRA MARCA, Y TENDRIA QUE HABER COMPRADO EL OTRO NUEVAMENTE. CON PEDAL ESCURRIDOR."
1,Un total engaño,Un total engaño. Plata tirada. No sirve.
1,Eataca total,"Espantoso.  Horrible calidad.  Tela de nylon, no de Tailandia.  Se engancha. No es amplio. No cierra. Es corto. Nada que ver con las fotos.  Una estafa."
1,Muy malo,No me resultó como decía no remueve nada
1,irresponsables producto usado y malo.,"el producto que me enviaron estaba usado, tenía por lo menos un año de uso, cuando reclamé me dijeron que venía así de fábrica, cuando fuí al local a que me lo cambiaran, ví que los empleados utilizban estos como zapatillas para los celulares... unos irresponsábles!!,"
1,"Plástico rígido , sin brillo. Se deforma colocado",Es imposible darle curvaturas . No se puede aplicar.  Quiero devolverlo
1,Muy malo,Una cagada. No sella bien se escapa el queso la.plancha es muy pequeña para el tamaño del pan no lo recomiendo
1,"Una mal producto , mala calidad","Una porquería de optica , mal alineada y los que la venden son todavía peor . Los pines mal puestos me quemaba la computadora"
1,Malisimo,Ni una estrella Daria... llegó rota mande mensaje y no me contestaron.
1,Muy malo,Producto muy mala calidad . Vendedor excelente
2,Malo,Llego bien pero no pude hacer que regulu a 1.24volt.
