,Unnamed: 0,content,sentiment,raw,rate
0,17912,DE EXCEPCIONAL MATERIAL PAREC BUEN PANTALL TIEN NUMER GRAND CARR DESLIZ NUMER RESALT BIEN EN MATERIAL COLOR PAR BUEN,"[1, 0]","Producto sencillo de facil manejo, excepcional . El material parece muy bueno. La pantalla tiene números grandes y el carro se desliza con facilidad. Los números resaltan bien en el material color gris.  Un producto para mi uso muy bueno",positive
1,13551,NO CARG RAP NO CARG RAP USAND CARGADOR ORIGINAL CON CARGADOR PANTALL CARGADOR CONECT CARG RAP,"[0, 1]",no es de carga rapida no es de carga rapida. lo probe usando un cargador original de s8 y con otro cargador.  En la pantalla de mi cel indica cuando el cargador QI conectado es de carga rapida,negative
2,11596,MAL ENTREG MAQUIN COST NO CENTR NO CONTEST PROFESIONAL DE PART ; MUCH DES,"[0, 1]","Muy malo Me entregaron una máquina defectuosa, la cuchilla hacia un costado, no está centrada. Les escribo y no contestan. Poco profesionalismo de su parte; Mucho que desear.",negative
3,15509,LIND LIND MATERNAL TENDR INCLU,"[0, 1]",linda muy linda pero ya que es maternal tendría que incluir el cambiador,negative
4,17762,EXCELENT BUEN RECOM LLEG,"[1, 0]","Excelente muy buena la recomiendo, llego bien",positive
5,2439,EXCELENT EXCELENT BUEN CALID SATISFECH,"[1, 0]","Excelente Excelente , y muy buena calidad muy satisfecha!!",positive
6,2808,FUNCION FLASHCART FUNCION EN LA JUG JUEG DE MICR DE LA INSTAL ES FACIL Y DESCARG MEDI EN EN VIEN CON UN PAS JUEG DE A LA MICR Y ALGUN CONSULT O CON DE ACLAR NO LEE ROMS DE GAMEBOY LAS DUD DEJ DE LAS MEJOR COMPR EN CUAND A VIDEOJUEG,"[1, 0]","Funciona perfectamente 10/10 Flashcart que funciona perfectamente en la 3DS para jugar juegos de DS.  Aguanta una micro de hasta 32GB, la instalación del firmware es muy fácil y se descarga por medio del sitio web escrito en el sticker del cartucho en si.     Viene con un adaptador USB para pasar los juegos de DS a la micro, y el vendedor te asesora si tenes alguna consulta o necesitas ayuda con el tema firmware. Copadísimo.     Queda de mas aclarar que no lee roms de Gameboy Advance ni 3DS. Pero por las dudas dejo esta info acá.    Una de las mejores compras que hice en cuando a videojuegos. 10/10",positive
7,8699,RECOMEND BUEN RAP,"[1, 0]",Muy recomendable Muy buen producto la entrega fue rápido.,positive
8,9480,BUEN EXCELENT EN RELACION EL PRECI CUMPL PROMET,"[1, 0]",Muy bueno Excelente!! En relación con el precio cumple lo prometido.,positive
9,8547,MAL BIEN EL PRODUCT PAREC ES BABOLART NO ES DE LA CALID ESPER ES DUR EN LA BLAND EN COST LA COMPR PAR JUG AL PADEL LA VERD NO ES LASTIM BABOLART BUEN PRODUCT EL TENDR ESPECIFIC BIEN ES BABOLART ES DE CALID A LA MARC NOS ACOSTUMBR NO GUST EL PRODUCT PART ESTAN MARC COST MAL PRODUCT,"[0, 1]","Muy malo Si bien el producto pareciera que es babolart no es de la calidad que yo esperaba es muy duro en la suela muy blando en los costados la compré para jugar al pádel y la verdad no sirve es una lástima ya que babolart tiene muy buenos productos El vendedor tendría que especificar que si bien es babolart es de una calidad inferior a lo que la marca nos tiene acostumbrado no me gustó el producto, lo utilice cuatro partidos y ya están todos marcados los costados muy mal producto",negative
10,18656,VIN ACUERD TIEMP PACT,"[0, 1]",Malo PEDI TALLE 45 ME VINO 46.LA ENTREGA FUE DE ACUERDO AL TIEMPO PACTADO,negative
11,4647,PRACTIQUISIM COLOR IDAL BLANC BUEN CIERR MATERIAL,"[1, 0]","PRACTIQUÍSIMAS COLOR IDAL BLANCO!, BUENOS CIERRES Y MATERIAL!",positive
12,16542,NONSON ESPER CALID,"[0, 1]",Deformes Nonson lo que esperaba..... Muy mala calidad,negative
