RATE,TITLE,CONTENT
3,Buenísimo..ya lo vompre,Buenísimo....muy bueno..yo..ya... compré
3,"Producto no original, cumple sólo una función.","Funciona bien, pero no es original... me indica que es de 3600 mAh cuando la original es de 2600 mAh. La otra cosa en contra es que no se activa carga rápida con ésta batería, pero bueno ya se la puse."
3,Bueno,Pensé que era más grande el talle de las calzas.
3,Bueno,"Esta bueno, portátil y lo podes llevar en el bolso"
3,"el matelaseado absorbe, no es 100% waterproof","Es bueno!! mejor que la mayoría, pero pensé que era impermeable de los dos lados  y solo lo era de la cara interna la otra cara es matelaseada muy cómoda y no te transpiras nada, tampoco hace ruido, ni te das cuenta que es esta puesto y es muy cómodo, el problema es que hay que tener dos porque cuando mi hija se orina tengo que poner sabana común y este lavarlo porque el matelaseado absorbe, no es 100% waterproof como muestra la segunda imagen de la publicación!! mas allá de eso el producto es bueno!!."
3,Buenas terminaciones goma espuma no es la mejor,"El rinconero es precioso, la tela y las terminaciones de muy buena calidad, pero lo principal que es la densidad de la goma espuma de los almohadones de los asientos no es la mejor. No tienen la misma densidad que la goma espuma del camastro que sería la correcta...en un par de meses los almohadones van ha estar vencidos y no somos personas de exceso de peso ni mucho menos."
3,Regular,"No es lo que esperaba, enfin por el precio no se puede pedir más."
3,Bien,"Hay varios formatos de que no lee, pero por el precio cumple las espectativas."
3,Bien,"Por el precio está bien pero yo tendría q haber comprado alguno de mejor calidad para paseo es muy frágil , lo q si es muy liviano y fácil de cargar"
3,Lo malo el cargador,"Es buena tablet, lo malo es el cargador, tarde alrededor de 6 horas para cargarlo al 100%"
3,Excelente,Muy cómodas y de buena calidad! Blanditas! Me encantaron!
3,TODO OK,"MAS PEQUEÑO DE LE QUE ME IMAGINE, PERO TODO EN ORDEN"
3,Lindo,"Linda calidad, lo unico que tiene desprolija las terminaciones."
3,Muy buenas precio/calidad,"Lindas cortinas y de una calidad por demás aceptable en relación a su precio. Cumple su función de blackout al 100%.  Siendo algo detallista, las costuras podrían mejorar un poco."
3,Muy vistoso color!!!,Son muy lindos pero ... la calidad como q no me convence se ven muy delicados el calce es perfecto
3,Bueno,"ES COMO ESPERABA , LAS MEDIDAS EXACTAS , COLOR ADECUADO."
3,Bueno pero no tanto como un sc original,"Bueno, la verdad imprime bien pero el sistema continuo es malo cada rato se agarra la manguera se traban los cabezales. Llevo varios días Renegando y eso de que cada vez quiero imprimir tengo que aguantame el mensaje de HP cartucho no original es cansador"
