,content,sentiment,raw,rate
0,SUEN,[0 1],"Malo Malo.....no cumple con mis expectativas, no suenan las notificaciones d msj, ni alarma, ni a cada hs.....ni las notific d llamadas.",negative
1,MALISIM CASC SAL VOL HIZ,[0 1],"Malísimo Una M... puse un casco salió volando y se hizo pelota, producto chino de mala calidad",negative
2,MAL BIEN LIND,[0 1],"Muy malo Bien,es linda pero una vino rota",negative
3,HAC AÑO VOLV RECOM COMPR,[1 0],"Eexcelente producto Los tenia de hace un año y los volví a comprar, los recomiendo 100 x 100. salen helados como los q compras!!",positive
4,BUEN COMPR EXCELENT COMPR SERVICIAL RESPOND LLEG RAP EXCELENT CONDICION,[1 0],"Muy buena compra Excelente compra, muy servicial para responder der preguntas y la entrega llego rápido y en excelente condición .",positive
5,BUEN BUEN CALID BUEN,[1 0],"Muy bueno Muy buen producto, la calidad del teflon es buena, la vengo utilizando y esta perfecto.    Recomendable",positive
6,BUEN BUEN LIND JUEG TOD,[1 0],Muy bueno Muy buen producto. Lindo juego para la familia Todo muy bien,positive
7,BUEN BUEN CALID MULTIPL BUEN,[1 0],Muy bueno . Producto de buena calidad. Usos múltiples y muy bueno lo del cabo extensible.,positive
8,EXCELENT EXCELENT RECOMEND COMPONENT MEJOR MUCH POTENCI TENG PUEST BUEN FABRIC,[1 0],"Excelente Excelente producto muy recomendable, se nota la calidad de los componentes mejoro mucho la potencia del motor lo tengo puesto en una motocicleta para competición. lo bueno que es fabricado en el pais",positive
9,RECOMEND DESCRIB BUEN ATENCION TIEMP ENTREG,[1 0],muy recomendable el producto es el que describe la publicacion.. muy buena atencion y tiempo de entrega.,positive
10,MALICIM DESASTR TIEMP COMPR MEDI,[0 1],Malicimo!!! Un desastre con los tiempos de entrega. OJO !!!! No compren por este medio,negative
11,BUEN SOPORT KIL,[0 1],Malo La calidad es buena pero no soporta los 20 kilos de mi perra,negative
12,TIR FUNCION PROB COMPUT RECOM ABSOLUT,[0 1],"Es tirar la plata a la basura No funciona. Probado en varias tvs CRT, con varias computadoras. No lo recomiendo en absoluto.",negative
13,SIENT ESTAF COMPR CONTEST TENG DINER,[0 1],"Me siento estafado. Lo compre, lo devolvi, y nunca me contestaron, ahora no tengo ni el dinero ni el producto",negative
