,cant
PED,307.0
SEMAN,262.0
POC,948.0
CORRECT,113.0
CAMBI,483.0
DUR,617.0
ESTAD,86.0
CONFORM,474.0
FORM,398.0
MI,1234.0
ESPER,1869.0
DEJ,418.0
OTRA,307.0
SATISFECH,137.0
OTRO,369.0
PUED,681.0
PROBLEM,478.0
ENVI,913.0
NUNC,474.0
SU,662.0
DIEZ,149.0
PER,2710.0
VERD,605.0
CUMPL,749.0
LLEG,1590.0
HAB,223.0
MATERIAL,597.0
TE,527.0
ROMP,384.0
PLASTIC,308.0
MAS,2085.0
GENIAL,418.0
ESTAF,325.0
MUCH,1177.0
TERMIN,547.0
PUD,277.0
%,340.0
MISM,480.0
FUNCION,1920.0
PUBLIC,558.0
CONDICION,113.0
USAR,370.0
ESPECTACUL,154.0
PES,271.0
RESULT,418.0
QUED,997.0
DIA,266.0
VEZ,261.0
PAREC,618.0
FALT,258.0
VER,276.0
ESTA,1161.0
LIVIAN,123.0
BASTANT,117.0
USO,618.0
RESISTENT,105.0
COMPLET,97.0
TAMAÑ,109.0
PAS,304.0
COM,1705.0
PAG,236.0
HIJ,151.0
RELACION,416.0
ALGO,300.0
IGUAL,110.0
FUE,569.0
DECEPCION,320.0
BAJ,316.0
PROB,100.0
PON,210.0
TOTAL,322.0
IMPEC,104.0
MEDI,257.0
TALL,458.0
?,583.0
MIS,229.0
UTIL,148.0
PERFECT,1065.0
COLOR,618.0
COS,263.0
CUAL,335.0
BUEN,10333.0
ANDA,123.0
ENCANT,340.0
PRODUCT,115.0
DISEÑ,137.0
SON,1769.0
NI,875.0
ORIGINAL,711.0
TUV,548.0
VE,130.0
ERA,952.0
CARG,428.0
RECIB,92.0
CUAND,473.0
PUNT,107.0
PART,311.0
ASI,313.0
HORRIBL,225.0
SER,518.0
DETALL,86.0
PESIM,539.0
SOL,947.0
REGUL,468.0
TIEN,1321.0
OK,215.0
SUP,519.0
ESTE,497.0
GRACI,573.0
SIRV,688.0
MARC,467.0
DIAS,412.0
COMOD,450.0
CHIC,344.0
SERVICI,99.0
BUENISIM,222.0
DESASTR,286.0
DIC,391.0
MALISIM,824.0
BIEN,2515.0
BUSC,138.0
TOD,2909.0
EXCELENT,7648.0
PLAT,211.0
DOS,434.0
RAP,437.0
HAY,450.0
ESO,275.0
TIR,241.0
ENTREG,597.0
HERM,100.0
PORQU,738.0
FOT,733.0
HERMOS,449.0
PRACTIC,379.0
DEVOLV,300.0
TEL,329.0
MEN,363.0
PRECI,1552.0
FACIL,337.0
TEN,559.0
ESTOY,397.0
MAL,6418.0
NECESIT,135.0
MEJOR,678.0
TENG,495.0
CALID,5202.0
DINER,227.0
VEND,232.0
ATENCION,919.0
YO,460.0
HAC,1075.0
DEB,251.0
MAND,611.0
GUST,682.0
UNIC,131.0
CORT,378.0
FALL,380.0
NINGUN,361.0
ACORD,192.0
JUST,139.0
VENDEDOR,1262.0
EXELENT,606.0
AHOR,122.0
10,217.0
PRIMER,82.0
IDEAL,152.0
RECOM,1729.0
CONTENT,99.0
HIC,209.0
RECLAM,330.0
SAL,390.0
GRAND,128.0
RECOMEND,2290.0
NO,13386.0
ESTAB,281.0
INSTAL,131.0
COMPR,2805.0
NAD,1238.0
VIN,553.0
EXPECT,182.0
ROT,302.0
TIEMP,1037.0
TRABAJ,118.0
LIND,1140.0
CAR,281.0
