raw,human_rate
exelente muy lindas envio en tiempo y forma,b
"Todo terreno Excelente producto, fácil de manejar, cómodo de llevar , sencillo pero con muy buena tecnología, hermosa calidad de fotos.",b
Regular Me enviaron el kit buena calidad un detalle me vino un solo burlete de basculante reclame pero no me dieron solución,n
"bueno aparentemente bueno , como llegó tarde todavia no lo usé.",b
"Práctico pero para tomarlo rápido... Cómo para tomar en el auto viajando, porque se va cebando de a poco.  La principal desventaja es que conserva la temperatura del agua una hora como mucho. Es para cargar y tomar, o llevar otro termo.",n
Malo No especifica como se usa muy incompleta la información,m
Bueno Es muy linda linterna para darle un uso básico! Ideal para el auto o casa!,b
"Aceptable pero no recomendable Funciona bien, pero la pantalla es claramente muy barata y los juegos se ven con una paleta de colores rara, todos parecen tener los mismos colores y no se ven como los originales en cualquier emulador. Esperaba un poco mas.",n
Bueno Todo el servicio bueno pero el producto bueno fallado.,n
Bueno El talle me quedo justo pero son mas bien chicos. Tela mas fina de lo q esperaba y hay q usarla con remera larga xq es un poco transparente.,n
Masomenos algunas se me gastaron  rapido otras ni Masomenos algunas se me gastaron  rapido otras ni funcionaron,n
Cómodo Buena calidad entrega en termino,b
bien buen producto.,b
Bueno Buen producto quizas le falta se un poco mas robusto,n
Buena relacion precio calidad El producto esta re bien para el precio que tiene  Dentro de todo bastante solida la construccion. Aunque no es para correr. Es para uso diario casual,n
Bueno el producto llegó bien pero esta rayado y la caja algo MANOSEADA da la impresión de haber estado en exhibición... funciona bien pero no tiene buen aspecto.,n
"Podria dar mas Bueno , a veces s ene apaga pero no eniendo el por que",n
Bueno Buen producto por el precio producto,b
Bueno producto acorde al precio. No sé qué más pretenden que diga ta ok la planchita,b
"Bueno No es lo que esperaba, el motor regular y la cadena se desafila muy rapido es de rular para abajo la calidad",n
"Para el valor es muy bueno, cumple Es muy cómodo, no molesta para nada, es fácil manipular casi cualquier herramienta. Es de verdad antideslizantes. Yo lo usé intensivamente para agarrar ramas y poda de árboles. Me sirvió pero en 2 usos se empezó a despegar. Pero quizás para otro trabajo menos exigente a durabilidad sea mayor. igual por el valor no se puede esperar que dure mucho mas.",n
Excelente Linda linda linda linda excelente,b
"Bueno de buena calidad, excelente corte, pero hay que ajustar la guia de talla",n
Bueno El disfraz es original con sus Etiquetas pero al 2 día se descocio en la parte de atrás y se rompió la máscara de goma...,n
"Cumple su funcion. Sirve para grabaciones no profesionales, se mete la señal de una radio cada vez que lo conecto pero bueno, se puede usar.",n
"caro para fallar, aunque no sea grave la falla Hasta ayer le daba 5 estrellas, realmente me conforma, pero acaba de dejar de funcionar el contador de revoluciones y su luz, debe ser algun problema de contacto, pero hace 1 mes que la tengo, ahora al service",m
Lo que esperaba Muy buena visión y muy livianos,b
"bien. bien, es lo que yo pedí. muchas gracias. no tengo más que decir...",b
Ggracias Muy bueno todavía no lo usé gracias.,b
Bueno muy lindo en presentacion y utilidad. buen reloj!!! lo recomiendo el 100 %. es tal cual la foto,b
"Buen producto. Cuesta la instalación Es un buen fan. Lo malo es que explica bien cómo ponerlo en el empaque,porque no es uno común. Muy silencioso",b
Bueno El Led no tiene buena calidad.,n
Parecía mejor No está mal pero con dos días sin afeitarte después se sienten varios tirones que duelen. Me dejó la cara bastante irritada. Solo la usaría en caso de viaje o emergencia no para uso diario.,n
"Bien termino medio. No se ven mal, pero esperaba mejor terminaciones y calidad.  Veremos cuando las coloque como quedan.  termino medio. No se ven mal, pero esperaba mejor terminaciones y calidad.  Veremos cuando las coloque como quedan.",n
"bueno bonito Cumple bien su funcion de carga, pero tener en cuenta que al no traer incluido el trafo, se debe usar uno de buena calidad y potencia porque de otra manera no funciona",n
"Funcional, no son los coolers de la foto Los coolers estan bien, son de la marca y cumplen su funcion, pero no son los coolers de la foto son otros.",n
"buen producto,conforme buen producto conforme ,respecto a lo que se ve el  la foto es muy parecido ,las trabas tipo pulsera un poco flojas pero nada raro",b
Bien lo comprado Bien. Era lo que pedi...........,b
Buena pero tendrian que mejorar el envalaje.GOLPES La venta es de buena calidad. Pero le doy 3 Estrella porque llego con dos golpes interzantes y la reja golpeada y doblada.. buena calidad pero no se cual seria el problema m eparece que se podria mejorar rl envalaje para protejer mejor los bordes..,n
"Funcionando bien, aceptable para principiantes Funcionando bien, aceptable para principiantes, buena relación calidad precio.",b
"Todo bien, conforme. Todo bien. Conforme con el producto.",b
"Restas estrellas el tamaño de la remera y la calza Tanto la remera, como la calza, son muy pequeñas, no respetan las medidas reales de los talles. El resto de las cosas, son muy buenas.",n
"Bueno producto acorde a su precio , confección tela muy fina y cuello grande , el resto bien porque no se deforman",b
"Producto básico, buena confección Buen producto, basico, con costura en toda la suela. Tener en cuenta que hay que solicitar un número mas que el que uno posee. Tengo el mismo producto con la misma suela pero sin cierre. Con cierre el borcego es mas chico, el empeine es mas chico. Como siempre....en la devolucion ya no tenian el talle siguiente, estrategia para no pagar el envío. Saí perdiendo porque ya no costaba lo mismo que yo había pagado.... Tomar nota Mercado Libre",n
"Bien La campera es muy angosta abajo , las mangas y parte de arriba perfecta.   Pero abajo debo subirmela para poder prenderla",n
"Bueno El bolso está muy bien. La tela es de buena calidad, aunque los cierres podrían ser un poco mejores.  Sólo advierto que es un poco más chico que lo que requiere Aerolineas.  Para transporte en cabina, Aerolineas Argentinas da unas medidas máximas de 48x30x20 mientras que éste bolso es de 44x30x15. No hay forma de que el perro entre parado, ya que tiene 15cm de alto. Tampoco es posible ponerlo de lado, ya que los  laterales con la tela traslucida, impiden que funcionen de piso.  En resúmen, el bolso es de buena calidad, pero tengo dudas respecto a su diseño, y definitivamente, las medidas publicadas no son las reales.",m
"Un cuarto de los productos no estaba en condicione Pensé que las agujas eran de bamboo y buena calidad, algunas venían astilladas, no eran así como de mucha calidad, no eran todas de los dos pack la mitad de uno venía en las condiciones antes descriptas",m
"Bueno Aún no lo probamos, parece muy bueno",b
Bueno pero no excelente Es bueno pero esperaba más.  Es como un baño de crema. No vi grandes cambios. Llevo 3 aplicaciones .  Llegó muy bien el producto . Tal cual lo acordado . Gracias,n
Bueno Buen producto. Rapida respuesta del vendedor. Hasta ahora funciona perfecto.,b
"Bueno Bueno, seguro y resistente , plástico duro",b
Bueno Muy buena calidad y confeccion.,b
"Bueno Buen producto teniendo en cuenta el precio, solamente las patas son cortas, teniendo en cuenta que son universales. Con un nuevo soporte funcionó",b
Bueno cumplieron en la entrega ..tal vez fue un error mio pero las macetas eran  muy pequeñas. Asi que como era para un souvenir tuve que completar con otra cosa mas.,b
Bueno BUEN PRODUCTOOOOOOOOO. RECOMENDABLEEEEEEE,b
"Buena Almohada Buena almohada, confortable y con suave aroma. La superficie multipuntual (semiesferas masajeadoras) nada que ver con la foto, son casi inexistentes y no se sienten para nada: esto es lo único malo del producto",n
"Deficiente No estoy teniendo buena experiencia, aún haciendo los ajustes necesarios la impresión es imperfecta!! Renglones fantasmas y cambia el centrado según el salto de impresión. No sé si recomendarlo",m
Bueno No es tan reforzado. Ya se le salieron varias veces los tornillos.,n
"Bueno Anduvo bien ,y se adaptó perfecto es lo que buscaba",b
"Bien Está bueno el estampó ahora la calidad del buzo no es buena es muy fino , pensé q Hiba hacer frizado pero no. Solo ese detalle.",n
Regular El panel templa una habitación de 3x3m pero no calienta como un ecosol. No llega a calentar como una estufa,n
Muy bueno Muy bueno comodo estoy contento,b
"Bueno Muy chica la cafetera, pero el café sale muy rico",n
Bueno Todo bien! Llegó en el tiempo estimado y el producto muy lindo,b
es un buen producto el producto es bueno llego en tiempo y forma la atencion muy buena,b
bueno! buen producto con buenas costuras,b
"Bueno Demasiado pesada para lo que ofrece , y el piso es de un material más propio de una carpa de fin de semana , nada que uno esperase encontrar en un producto con el aval de la National Geográfic.",n
"medio pelo esta bien para el precio, parece de juguete , ideal para mi sobrina de 9 años.",n
"Va en gustos, prefiero la afeitadora Tarda bastante tiempo en actuar, fuerte olor, pero debo admitir deja mucho mejor que afeitado y dura mas.",n
Bueno Gggtttttedffgffgghhh gvggvvvvvvv,b
Normal Producto normal. Tarda un poco en hervir,n
Bueno La impresora es muy buena pero muy caros los repuestos,n
Mas o menos El juego no encastra bien. Se abre,n
"Bueno Lindo producto,por el precio.Recomendable",b
aceptable está bien pero tiene poca compresión,n
Bueeno Sirve para mantener el orden pero mr imaginaba algo mejor,n
"Bueno todo bien, buen producto.....................................",b
Muy bueno Era lo que esperaba buen producto,b
"Bueno Esta muy bueno pero las varillas de los bordes del marco se torcieron nose si por humedad o por la calidad de la madera, la imagen no tuvo ningin desperfecto.",n
Bien Producto aceptable relativo al precio.,b
bueno esta bueno pero la aplicacion de netflix no se puede usar bien y la navegacion con el control no es buena.,b
Bueno Llego en tiempo y forma.  Pero costó mucho armarlo. Viene sin manual de instrucciones. Pedi 2 de diferentes colores y me enviaron los 2 iguales.,n
Buena compra La calidad va de acuerdo al precio.,b
"Bueno En cuanto al producto, llegó tal cual lo vi en la foto.   Solamente tengo una cosa negativa para agregar,  las agujas del reloj vinieron rotas.  (Ahora tendré que cambiar todo porque se ve que está quebrado por dentro del equipo que hace girar las agujas.)",n
Bueno esta bien funciona sin problema,b
"Esperaba otra cosa No es paellera, sino una olla, paellera debe ser más baja y ancha.",m
"todavia no la puse todavia no la puse, asi no puedo opinar,  y consejo asesorarse bien la bateria",n
Bueno Es el producto que esperaba. Sin problemas en la compra,b
No me sirvio La faja es fuerte pero no era lo que esperaba y me quedo chica,m
Buenos La relación precio calidad es muy buena... Son tan lindos como se ven en las fotos.. Lo negativo es que al usarlos el cuero se marca..,n
"Bueno Lindo producto. La remera es un poco corta, el pantalón esta bien. Es comodo para usar todo el día y abrigadito para dormir.",b
Malo El precio es bueno. Pero la calidad mso,n
Bueno Funciona todo muy bien..buen producto,b
"Bueno El producto es bueno. Si bien deberian mejorar los detalles.  Tiene errores de ortografia que, supongo, no son del autor.",b
"Aceptable Es acordé al precio(finito) el color es parecido a la foto , pero para una época de no mucho frío safa",n
"Regular Me parecio que aclare que queria para el clio mio y al querer colocar me encuentro que es para el clio largo, y no trajo pegamento pero ya esta lo deje igual lo adapte.",n
"Artículo sobrevalorado Pensé era mejor la calidad la escobilla. Es muy linda y discreta, pero no la volvería a comprar, menos al precio que está publicada. Hoy 26/08/19, no vale 850 pesos ni a ganchos.",m
Muy bueno Muy buen producto. Fácil instalación. Aplicación funciona perfectamente.,b
"De segunda vendido como nuevo Anda perfecto. Pero Llegó todo abollado,  a pesar de que el envoltorio estaba intacto lo que indica que fue embalado sabiendo que estaba en malas condiciones",n
"Bueno, pero chico Cumple exactamente con lo promocionado. Es, sin embargo, pequeño para un uso mas exigente.",n
